🕘️更新时间,#genre#
2025-07-22 18:18:55,http://101.201.225.252:35456/gptv/G_CCTV-1-HQ.m3u8

央视频道,#genre#
CCTV1,http://101.201.225.252:35456/gptv/G_CCTV-1-HQ.m3u8
CCTV1,http://222.90.22.2:9999/rtp/239.112.205.59:5140
CCTV1,http://222.90.22.2:9999/rtp/239.109.205.118:8880
CCTV1,http://114.100.16.212:4022/rtp/238.1.78.166:7200
CCTV1,http://116.230.254.173:8004/mgtv/608807420.m3u8
CCTV1,http://61.150.115.189:7777/bst/cctv1hd@4000000.m3u8
CCTV1,http://home.yulei.online:9999/rtp/226.0.2.153:9136
CCTV1,http://183.24.62.163:44443/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.15.18.199:8180/TV00000000000000000001@HHZT
CCTV1,http://219.139.231.165:34567/bst/cctv1hd@4000000.m3u8
CCTV2,http://101.201.225.252:35456/gptv/G_CCTV-2-HQ.m3u8
CCTV2,http://222.90.22.2:9999/rtp/239.112.205.78:5140
CCTV2,http://www.stoneshi1984.ren:58120/rtp/239.112.205.78:5140
CCTV2,http://114.100.16.212:4022/rtp/238.1.78.235:7752
CCTV2,http://116.230.254.173:8004/mgtv/631780532.m3u8
CCTV2,http://61.150.115.189:7777/bst/cctv2hd8m@8000000.m3u8
CCTV2,http://home.yulei.online:9999/rtp/226.0.2.154:9144
CCTV2,http://183.24.62.163:44443/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.15.18.199:8180/TV00000000000000000002@HHZT
CCTV2,http://219.139.231.165:34567/bst/cctv2hd8m@8000000.m3u8
CCTV3,http://101.201.225.252:35456/gptv/G_CCTV-3-HQ.m3u8
CCTV3,http://222.90.22.2:9999/rtp/239.109.205.79:8568
CCTV3,http://222.90.22.2:9999/rtp/239.112.205.221:5140
CCTV3,http://www.stoneshi1984.ren:58120/rtp/239.112.205.221:5140
CCTV3,http://114.100.16.212:4022/rtp/238.1.78.170:7232
CCTV3,http://116.230.254.173:8004/mgtv/624878271.m3u8
CCTV3,https://live.sxrtv.com/iptv/cctv3.flv
CCTV3,http://61.150.115.189:7777/bst/cctv3hd@4000000.m3u8
CCTV3,http://61.150.115.189:7777/bst/cctv3hdhai@4000000.m3u8
CCTV3,http://home.yulei.online:9999/rtp/226.0.2.208:9576
CCTV4,http://43.248.96.56:8880/mgtv/631780421.m3u8
CCTV4,http://101.201.225.252:35456/gptv/G_CCTV-4-HQ.m3u8
CCTV4,http://222.90.22.2:9999/rtp/239.109.205.159:9108
CCTV4,http://222.90.22.2:9999/rtp/239.111.205.182:5140
CCTV4,http://222.90.22.2:9999/rtp/239.112.205.202:5140
CCTV4,http://www.stoneshi1984.ren:58120/rtp/239.111.205.38:5140
CCTV4,http://www.stoneshi1984.ren:58120/rtp/239.112.205.202:5140
CCTV4,http://www.stoneshi1984.ren:58120/rtp/239.111.205.83:5140
CCTV4,http://www.stoneshi1984.ren:58120/rtp/239.111.205.84:5140
CCTV4,http://114.100.16.212:4022/rtp/238.1.78.236:7760
CCTV5,http://43.248.96.56:8880/mgtv/641886683.m3u8
CCTV5,http://101.201.225.252:35456/gptv/G_CCTV-5-HQ.m3u8
CCTV5,http://222.90.22.2:9999/rtp/239.109.205.80:8576
CCTV5,http://222.90.22.2:9999/rtp/239.112.205.222:5140
CCTV5,http://www.stoneshi1984.ren:58120/rtp/239.112.205.222:5140
CCTV5,http://114.100.16.212:4022/rtp/238.1.78.171:7240
CCTV5,http://116.230.254.173:8004/mgtv/641886683.m3u8
CCTV5,https://live.sxrtv.com/iptv/cctv5.flv
CCTV5,http://61.150.115.189:7777/bst/cctv5hd@4000000.m3u8
